All_Cases_1to2wk	EQBO_1to2wk	WQBO_1to2wk	EQBO_with_ws<13m/s_1to2wk	WQBO_and_EQBO_with_WS>13m/s_1to2wk	EQBO_with_ws<10m/s_1to2wk	WQBO_and_EQBO_with_WS>10m/s_1to2wk	EQBO_with_ws<7m/s_1to2wk	WQBO_and_EQBO_with_WS>7m/s_1to2wk	ZMZW_at_60N_10hPa<3.8m/s_1to2wk	ZMZW_at_60N_10hPa>3.8m/s_1to2wk	SWIneg_1to2wk	SWIplain_1to2wk	All_Cases_3to4wk	EQBO_3to4wk	WQBO_3to4wk	EQBO_with_ws<13m/s_3to4wk	WQBO_and_EQBO_with_WS>13m/s_3to4wk	EQBO_with_ws<10m/s_3to4wk	WQBO_and_EQBO_with_WS>10m/s_3to4wk	EQBO_with_ws<7m/s_3to4wk	WQBO_and_EQBO_with_WS>7m/s_3to4wk	ZMZW_at_60N_10hPa<3.8m/s_3to4wk	ZMZW_at_60N_10hPa>3.8m/s_3to4wk	SWIneg_3to4wk	SWIplain_3to4wk	All_Cases_5to6wk	EQBO_5to6wk	WQBO_5to6wk	EQBO_with_ws<13m/s_5to6wk	WQBO_and_EQBO_with_WS>13m/s_5to6wk	EQBO_with_ws<10m/s_5to6wk	WQBO_and_EQBO_with_WS>10m/s_5to6wk	EQBO_with_ws<7m/s_5to6wk	WQBO_and_EQBO_with_WS>7m/s_5to6wk	ZMZW_at_60N_10hPa<3.8m/s_5to6wk	ZMZW_at_60N_10hPa>3.8m/s_5to6wk	SWIneg_5to6wk	SWIplain_5to6wk
-0.384	-1.415	2.01	-1.451	-0.478	-3.079	1.797	NA	-0.69	NA	-0.057	-3.114	-3.482	0.057	-0.892	1.023	-3.503	0.069	-0.887	1.346	NA	-1.218	NA	-2.174	-1.631	-2.102	-0.057	-2.597	-0.872	0.321	-0.781	-2.12	-0.318	NA	-2.221	NA	-2.682	-1.792	-0.327
-0.057	-2.597	-0.872	-1.505	-0.985	-1.782	-3.482	NA	-2.221	NA	-2.682	-1.792	-0.327	-2.174	0.924	-1.504	-1.953	0.922	-4.854	-2.102	NA	-2.314	NA	-2.584	-4.635	-0.029	-2.682	-0.873	-2.288	-2.654	-2.671	-3.43	-0.327	NA	-2.3	NA	-2.92	-4.688	0.094
-2.682	-1.138	-0.288	-2.654	-2.671	-2.654	-0.327	NA	-0.816	NA	-0.825	-3.079	0.982	-2.584	-1.2	-0.795	-4.353	-2.562	-1.99	-0.029	NA	-0.892	NA	-2.607	-0.887	0.69	-2.92	0.097	-1.016	-2.286	-3.381	-2.757	0.094	NA	0.981	NA	-2.129	-2.12	2.245
-3.253	0.097	-1.016	-2.286	-1.138	-2.245	0.982	NA	0.981	NA	-2.129	-1.782	-0.916	-2.765	-0.427	-1.443	-3.607	-1.2	-3.575	0.69	NA	-0.084	NA	-1.378	-4.854	-0.596	-3.507	0.114	-0.557	-2.517	0.097	-0.76	2.245	NA	1.367	NA	-0.69	-3.43	-0.478
-0.825	-0.553	0.569	-2.509	0.097	-0.576	-0.916	NA	1.367	NA	-0.69	-0.488	-0.478	-2.607	-0.738	0.268	-0.583	-0.427	-0.707	-0.596	NA	0.749	NA	-1.218	0.916	0.069	-2.129	-1.607	-3.17	-1.593	0.114	-0.516	-0.478	NA	1.797	NA	-2.221	0.189	-0.781
-2.129	-1.607	0.03	-4.269	-0.362	-1.678	-0.478	NA	1.797	NA	-2.221	-2.654	-0.985	-1.378	-1.649	-0.048	-3.15	-1.827	-4.337	0.069	NA	1.346	NA	-2.314	-1.99	0.922	-0.69	-3.073	0.443	-2.726	-0.029	-2.84	-0.781	NA	-0.318	NA	-2.3	-2.757	-2.671
-0.69	-3.073	-1.434	-3.114	-0.178	-3.846	-0.985	NA	-0.056	NA	-0.816	-2.245	-2.671	-1.218	-1.804	-2.185	-1.631	0.488	-5.821	0.922	NA	-2.171	NA	-0.892	-3.575	-2.562	-2.221	-1.451	-2.723	-1.792	2.01	-5.533	-2.671	NA	-3.482	NA	0.981	-0.76	-3.381
-2.221	-1.451	-2.603	-1.792	2.01	-5.205	-2.671	NA	-3.482	NA	0.981	-0.576	-1.138	-2.314	-3.503	-1.534	-4.635	1.023	-4.73	-2.562	NA	-2.102	NA	-0.084	-0.707	-1.2	-2.3	0.321	-4.269	-4.688	-0.872	-2.17	-3.381	NA	-0.327	NA	1.367	-0.516	0.097
-0.816	-2.117	-1.141	-3.079	-0.872	0.123	-1.138	NA	-0.327	NA	1.367	-1.838	0.097	-0.892	2.523	0.135	-0.887	-1.504	-3.451	-1.2	NA	-0.029	NA	0.749	-3.202	-0.427	0.981	-0.288	-2.277	-2.12	-2.288	-2.906	0.097	NA	0.094	NA	1.797	-2.396	0.114
0.981	-1.505	-1.529	-1.782	-2.117	-2.465	0.097	NA	0.982	NA	1.797	-1.678	-0.362	-0.084	-1.953	-0.131	-4.854	2.523	0.336	-0.427	NA	0.69	NA	1.346	-4.337	-1.827	1.367	-2.654	-3.856	-3.43	-0.288	0.076	0.114	NA	2.245	NA	-0.318	-2.84	-0.029
